Nov27_1212_comp
----------------------------------------------------------------------------------------------------
[Twitter]   init=ones (20)   seed=42   batch_size=64 spectral_dim=300
File1: twitter_10000bins_modiffT  File1: twitter_10000bins_modiffT
----------------------------------------------------------------------------------------------------
lr=0.002 schedule=True ema=0.999 epochs=200 reduce=False eps=1e-05
(ScoreNetworkX)+(ScoreNetworkA_eigen=GCN,4)   : depth=2 adim=32 nhid=32 layers=6 linears=2 c=(2 8 4)
(x:VP)=(0.10, 20.00) N=1000 (adj:VP)=(0.10, 20.00) N=1000
----------------------------------------------------------------------------------------------------
048 | 6.26s | test x: 2.918e+01 | test adj: 1.318e+02 | train x: 1.849e+01 | train adj: 1.388e+02 | 
049 | 6.24s | test x: 3.432e+01 | test adj: 1.321e+02 | train x: 1.793e+01 | train adj: 1.392e+02 | 
050 | 20.03s | test x: 2.787e+01 | test adj: 1.304e+02 | train x: 1.792e+01 | train adj: 1.400e+02 | 
051 | 16.92s | test x: 3.707e+01 | test adj: 1.319e+02 | train x: 1.749e+01 | train adj: 1.396e+02 | 
052 | 24.65s | test x: 3.915e+01 | test adj: 1.303e+02 | train x: 1.753e+01 | train adj: 1.387e+02 | 
053 | 20.01s | test x: 1.914e+01 | test adj: 1.297e+02 | train x: 1.733e+01 | train adj: 1.397e+02 | 
054 | 21.91s | test x: 2.295e+01 | test adj: 1.308e+02 | train x: 1.757e+01 | train adj: 1.392e+02 | 
055 | 13.18s | test x: 2.683e+01 | test adj: 1.333e+02 | train x: 1.756e+01 | train adj: 1.397e+02 | 
056 | 6.31s | test x: 3.957e+01 | test adj: 1.330e+02 | train x: 1.930e+01 | train adj: 1.398e+02 | 
057 | 6.23s | test x: 2.434e+01 | test adj: 1.319e+02 | train x: 1.789e+01 | train adj: 1.396e+02 | 
058 | 6.27s | test x: 3.824e+01 | test adj: 1.341e+02 | train x: 1.643e+01 | train adj: 1.398e+02 | 
059 | 6.27s | test x: 3.057e+01 | test adj: 1.344e+02 | train x: 1.847e+01 | train adj: 1.390e+02 | 
060 | 6.31s | test x: 2.534e+01 | test adj: 1.317e+02 | train x: 1.548e+01 | train adj: 1.384e+02 | 
061 | 6.31s | test x: 2.952e+01 | test adj: 1.331e+02 | train x: 1.751e+01 | train adj: 1.401e+02 | 
062 | 6.32s | test x: 2.833e+01 | test adj: 1.327e+02 | train x: 1.745e+01 | train adj: 1.393e+02 | 
063 | 6.28s | test x: 2.528e+01 | test adj: 1.327e+02 | train x: 1.795e+01 | train adj: 1.398e+02 | 
064 | 6.16s | test x: 2.516e+01 | test adj: 1.321e+02 | train x: 1.564e+01 | train adj: 1.386e+02 | 
065 | 6.09s | test x: 2.311e+01 | test adj: 1.308e+02 | train x: 1.613e+01 | train adj: 1.393e+02 | 
066 | 6.21s | test x: 3.605e+01 | test adj: 1.318e+02 | train x: 1.812e+01 | train adj: 1.396e+02 | 
067 | 6.29s | test x: 2.673e+01 | test adj: 1.306e+02 | train x: 1.549e+01 | train adj: 1.396e+02 | 
068 | 6.19s | test x: 2.699e+01 | test adj: 1.331e+02 | train x: 1.626e+01 | train adj: 1.390e+02 | 
069 | 6.03s | test x: 2.402e+01 | test adj: 1.308e+02 | train x: 1.728e+01 | train adj: 1.386e+02 | 
070 | 6.25s | test x: 2.947e+01 | test adj: 1.317e+02 | train x: 1.740e+01 | train adj: 1.397e+02 | 
071 | 6.33s | test x: 2.651e+01 | test adj: 1.321e+02 | train x: 1.746e+01 | train adj: 1.395e+02 | 
072 | 6.25s | test x: 3.237e+01 | test adj: 1.328e+02 | train x: 1.746e+01 | train adj: 1.397e+02 | 
073 | 6.08s | test x: 1.749e+01 | test adj: 1.348e+02 | train x: 1.539e+01 | train adj: 1.392e+02 | 
074 | 6.27s | test x: 2.232e+01 | test adj: 1.304e+02 | train x: 1.725e+01 | train adj: 1.393e+02 | 
075 | 6.24s | test x: 2.302e+01 | test adj: 1.317e+02 | train x: 1.636e+01 | train adj: 1.398e+02 | 
076 | 6.31s | test x: 4.149e+01 | test adj: 1.324e+02 | train x: 1.478e+01 | train adj: 1.394e+02 | 
077 | 6.28s | test x: 2.030e+01 | test adj: 1.308e+02 | train x: 1.696e+01 | train adj: 1.401e+02 | 
078 | 6.46s | test x: 3.363e+01 | test adj: 1.339e+02 | train x: 1.751e+01 | train adj: 1.403e+02 | 
079 | 6.27s | test x: 2.454e+01 | test adj: 1.305e+02 | train x: 1.708e+01 | train adj: 1.395e+02 | 
080 | 6.31s | test x: 3.379e+01 | test adj: 1.323e+02 | train x: 1.661e+01 | train adj: 1.398e+02 | 
081 | 6.27s | test x: 3.527e+01 | test adj: 1.348e+02 | train x: 1.480e+01 | train adj: 1.394e+02 | 
082 | 6.19s | test x: 3.144e+01 | test adj: 1.313e+02 | train x: 1.796e+01 | train adj: 1.400e+02 | 
083 | 6.32s | test x: 3.141e+01 | test adj: 1.319e+02 | train x: 1.661e+01 | train adj: 1.390e+02 | 
084 | 6.24s | test x: 2.272e+01 | test adj: 1.316e+02 | train x: 1.535e+01 | train adj: 1.394e+02 | 
085 | 6.34s | test x: 2.310e+01 | test adj: 1.336e+02 | train x: 1.360e+01 | train adj: 1.386e+02 | 
086 | 6.29s | test x: 3.060e+01 | test adj: 1.330e+02 | train x: 1.495e+01 | train adj: 1.398e+02 | 
087 | 6.21s | test x: 2.365e+01 | test adj: 1.333e+02 | train x: 1.674e+01 | train adj: 1.398e+02 | 
088 | 6.15s | test x: 2.372e+01 | test adj: 1.310e+02 | train x: 1.593e+01 | train adj: 1.392e+02 | 
089 | 6.25s | test x: 3.424e+01 | test adj: 1.313e+02 | train x: 1.431e+01 | train adj: 1.396e+02 | 
090 | 6.27s | test x: 2.339e+01 | test adj: 1.328e+02 | train x: 1.568e+01 | train adj: 1.393e+02 | 
091 | 6.09s | test x: 2.516e+01 | test adj: 1.330e+02 | train x: 1.671e+01 | train adj: 1.399e+02 | 
